4 218 4096
6 999 20736
8 277 65536
12 1147 331776
16 1461 1048576
20 407 2560000
24 754 5308416
32 2699 16777216
40 13633 40960000
48 40350 84934656
64 226898 268435456
80 863010 655360000
96 2602694 1358954496
112 10293103 2517630976
